cui,drug_name
C0718162    ,ak-nefrin
C0591049    ,aknemin
C0379553    ,aknemycin
C0718163    ,ak-neo-dex
C3692593    ,aknetrol
C4256997    ,akovaz
C0305114    ,ak-pentolate
C0718164    ,ak-poly-bac
C0305116    ,ak-pred
C0718165    ,ak-pro
C0483228    ,ak-spore
C0728752    ,ak-sulf
C0701336    ,ak-taine
C0718169    ,ak-t-caine
C2369991    ,akten
C4325274    ,aktipak
C0718170    ,ak-tob
C0718171    ,ak-tracin
C0718172    ,ak-trol
C1948514    ,akurza
C3858030    ,akynzeo
C1601568    ,alacol
C0718308    ,ala-cort
C0718312    ,alagesic
C1996213    ,ala-hist
C0718313    ,alamag
C0875955    ,alamast
C0001898    ,alanine
C0051080    ,alanylglutamine
C0718309    ,ala-quin
C2726338    ,ala-scalp
C0718311    ,ala-tet
C0540776    ,alatrofloxacin
C1170027    ,alavert
C1949086    ,alaway
C3696387    ,albadry
C1590913    ,albafort
C0718315    ,albalon
C0718316    ,albamycin
C1601534    ,albatussin
C0001911    ,albendazole
C0591462    ,albenza
C2607479    ,albiglutide
C2732181    ,albon
C0733415    ,albucid
C3194893    ,albuked
C0718318    ,albumarc
C0991769    ,"albumin,aggregated"
C1330038    ,albumin-alpine
C0591050    ,albuminar
C2587133    ,albuminar-20
C0305191    ,albuminar-25
C0305192    ,albuminar-5
C0051107    ,albunex
C1330039    ,alburx
C0591051    ,albutein
C0001927    ,albuterol
C2348241    ,alcaftadine
C0701337    ,alcaine
C2947933    ,alcalak
C1330040    ,alcare
C0360534    ,alclometasone
C0771150    ,alcloxa
C3643623    ,alcoh-wipe
C3473421    ,alconefrin
C0718325    ,alconefrin-12
C0718326    ,alconefrin-25
C1589079    ,alcortin
C0001981    ,alcuronium
C0051122    ,aldactazide
C0591054    ,aldactone
C0718327    ,aldara
C0218986    ,aldesleukin
C1617769    ,aldex
C0058133    ,aldioxa
C3538411    ,aldoclor
C0591055    ,aldomet
C1829357    ,aldoril
C0002006    ,aldosterone
C1879099    ,aldroxicon
C1330043    ,aldurazyme
C4060047    ,alecensa
C3853921    ,alectinib
C0962603    ,alefacept
C0383429    ,alemtuzumab
C1636230    ,alenaze-d
C0102118    ,alendronate
C1873679    ,alera
C0718337    ,aler-dryl
C1629520    ,aler-tab
C0718340    ,alesse
C1171448    ,aleudrin
C3834215    ,alevazol
C0718343    ,aleve
C2684675    ,aleve-d
C0591057    ,alexan
C0731382    ,alexan-100
C1719876    ,alexitol
C0044410    ,alfacalcidol
C1957081    ,alfatradiol
C0051482    ,alfaxalone
C0002025    ,alfenta
C0002026    ,alfentanil
C0051150    ,alfuzosin
C3160293    ,algal-900
C0002328    ,algestone
C0102137    ,alginate
C1588837    ,algiotic
C0591060    ,algitec
C0102139    ,alglucerase
C0771472    ,alibendol
C1996158    ,aliclen
C0718347    ,alidrin
C0041031    ,alimemazine
C0591061    ,alimix
C1101816    ,alimta
C1170029    ,alinia
C4522981    ,aliqopa
C3491162    ,alirocumab
C1120110    ,aliskiren
C0281666    ,alitretinoin
C0051162    ,alizapride
C1639198    ,alkabel
C0718355    ,alka-mints
C0051166    ,alka-seltzer
C0591063    ,alkeran
C0718358    ,alkets
C0718359    ,alkums
C1737825    ,allanderm
C1966083    ,allanenzyme
C1724539    ,allanfil
C1966085    ,allanfillenzyme
C1724370    ,allanfol
C0002083    ,allantoin
C1657547    ,allanzyme
C0718362    ,allay
C1110594    ,allegra
C0718366    ,allegra-d
C0718367    ,allent
C3643618    ,allercaine
C0718368    ,aller-chlor
C3535785    ,allerclear
C0718371    ,allercon
C1948312    ,allerdur
C2979357    ,allerest
C4257002    ,aller-flo
C0718379    ,allerfrim
C0718380    ,allerfrin
C0718382    ,allergia-c
C4284243    ,allerhist-1
C0718393    ,allerhist-d
C0718394    ,allerlief
C0718395    ,allermax
C2608734    ,allernaze
C2756138    ,alleroff
C0718396    ,allerphed
C0718397    ,allersol
C2722885    ,aller-tec
C1170040    ,allerx-d
C0002119    ,allethrin
C0939675    ,allfen
C1871879    ,alli
C0002132    ,allobarbital
C0051209    ,alloin
C0002144    ,allopurinol
C0087161    ,all-trans-retinol
C0002158    ,allylestrenol
C0051242    ,allylthiourea
C0718400    ,almacone
C0051515    ,almasilate
C1254036    ,almazine
C0051247    ,alminoprofen
C0002164    ,almitrine
C0591067    ,almodan
C0718402    ,almora
C0914729    ,almotriptan
C1177039    ,alnide
C4318146    ,alocaine
C3700955    ,alocane
C0876882    ,alocril
C1962435    ,alodox
C3531518    ,aloe-dip
C3665178    ,aloeguard
C2961716    ,aloemint
C2946301    ,aloetouch
C1958126    ,alogliptin
C0051252    ,aloglutamol
C0718410    ,aloh-gel
C0243736    ,alomide
C0591068    ,alophen
C0875958    ,aloprim
C2718641    ,aloquin
C0718413    ,alor
C0718414    ,alora
C1254025    ,aloral
C0291772    ,alosetron
C1310735    ,aloxi
C0051254    ,aloxiprin
C1628282    ,alpain
C4293264    ,"alpha,alpha-dibromo-d-camphor"
C3853624    ,alpha-amylase
C3528818    ,alpha-arbutin
C4019621    ,".alpha.,.beta.'-diglycerin"
C3472975    ,alpha-caine
C0051348    ,alpha-cyclodextrin
C2698060    ,alpha-d-glucopyranose
C2713445    ,alphadine
C0594452    ,alphagan
C0524776    ,alphaglobin
C2935868    ,alpha-hexylcinnamaldehyde
C1530834    ,alpha-isomethylionone
C0594139    ,alphanate
C0591070    ,alphanine
C1263315    ,alphaparin
C0002327    ,alphaprodine
C0051466    ,alpha-terpineol
C4541952    ,alpha-tocopheryloxyacetate
C3555502    ,alpha-tocopherylquinone
C0718419    ,alphatrex
C0591071    ,alphavase
C2918503    ,alphen
C1262741    ,alphodith
C1602298    ,alprazalam
C0002333    ,alprazolam
C0002334    ,alprenolol
C3819068    ,alprolix
C0002335    ,alprostadil
C1602304    ,alprozolam
C0718421    ,alramucil
C0718422    ,alrex
C0591072    ,alrheumat
C0002340    ,alseroxylon
C2920002    ,alsuma
C1872275    ,altabax
C1630464    ,altacaine
C0878061    ,altace
C1634527    ,altachlore
C1620286    ,altacite
C0718424    ,altafed
C0718425    ,altaflor
C1634528    ,altafluor
C1588135    ,altafrin
C1658733    ,altalube
C0718426    ,altamist
C0718427    ,altarussin
C0718431    ,altaryl
C0718432    ,altatapp
C1633760    ,altazine
C0718433    ,altenol
C0032143    ,alteplase
C0718434    ,alternagel
C0051500    ,althiazide
C0939774    ,altinac
C1170046    ,altocor
C1602612    ,altoprev
C0718437    ,altorant
C4519529    ,altren
C0102819    ,altrenogest
C3500465    ,altresyn
C0019453    ,altretamine
C0718438    ,alu-cap
C1254027    ,aluline
C0137988    ,alum
C0002367    ,aluminum
C4475146    ,alunbrig
C1263581    ,alunex
C0733816    ,alupent
C1256455    ,alupram
C1170047    ,alustra
C0718439    ,alu-tab
C2963027    ,aluvea
C1235656    ,aluzine
C0051528    ,alverine
C1174745    ,alvesco
C1508750    ,alvimopan
C0002403    ,amantadine
C0595112    ,amaryl
C0002412    ,ambenonium
C0718446    ,ambenyl
C0242864    ,amber
C0242865    ,ambergris
C1601218    ,ambi
C1948592    ,ambi-1000
C0487782    ,ambien
C1601914    ,ambifed
C1645654    ,ambifed-g
C0591076    ,ambisome
C0718448    ,ambophen
C1176329    ,ambrisentan
C0002421    ,ambroxol
C0654360    ,ambroxol-theophylline-7-acetate
C0051556    ,amcinonide
C0718449    ,amcort
C0002435    ,amdinocillin
C3827192    ,ameluz
C3152357    ,amerfresh
C0594660    ,amerge
C0813697    ,americaine
C0718453    ,americet
C1601496    ,amerifed
C0701467    ,a-methapred
C1170049    ,amevive
C0051570    ,amezinium
C0012201    ,amfepramone
C0718454    ,amficot
C0702045    ,amicar
C0718463    ,amidate
C0051591    ,amidoline
C1254181    ,amidox
C0718464    ,amidrine
C0015020    ,amifostine
C0718465    ,amigesic
C0002499    ,amikacin
C0700949    ,amikin
C0718468    ,amilac
C0592897    ,amilamont
C1524076    ,amilomer
C0002502    ,amiloride
C0654934    ,amiloxate
C3864957    ,amimax
C0002503    ,aminacrine
C0051601    ,aminaphthone
C0051607    ,amineptin
C0051607    ,amineptine
C0718476    ,aminess
C2586938    ,amini-3
C0002503    ,aminoacridine
C0552314    ,aminobenzoate
C0178474    ,aminobutyrate
C0368662    ,aminocaproate
C0305244    ,amino-cerv
C0002555    ,aminoglutethimide
C0600157    ,aminolevulinate
C0301544    ,aminometradine
C1618318    ,aminomine
C0718479    ,amino-opti-e
C0051654    ,aminopentamide
C0002586    ,aminophenazone
C0002575    ,aminophylline
C0002583    ,aminopterin
C0002586    ,aminopyrine
C0051675    ,aminoquinuride
C0368663    ,aminosalicylate
C0103040    ,aminosyn
C0718489    ,aminosyn-hbc
C0718491    ,aminosyn-pf
C0718492    ,aminosyn-rf
C0002598    ,amiodarone
C0733478    ,amipak
C0718458    ,ami-rax
C0103045    ,amisulpride
C0718456    ,ami-tex
C1699150    ,amitiza
C0718493    ,amitone
C0051692    ,amitraz
C0002600    ,amitriptyline
C0591081    ,amix
C0718494    ,amlactin
C0103049    ,amlexanox
C0051696    ,amlodipine
C2961430    ,ammens
C0002607    ,ammonia
C3500337    ,ammoniac
C0002611    ,ammonium
C1652089    ,ammonul
C1170051    ,amnest
C1330059    ,amnesteem
C0002640    ,amobarbital
C2587143    ,amoclan
C0002641    ,amodiaquine
C0051733    ,amonafide
C0051734    ,amopen
C2346747    ,amoproxan
C0591083    ,amoram
C0051736    ,amorolfine
C0002644    ,amoxapine
C2683383    ,amoxi
C0002645    ,amoxicillin
C1601563    ,amoxicillinan
C1170052    ,amoxicot
C1256679    ,amoxidin
C0700524    ,amoxil
C0308325    ,amoxi-tabs
C1256681    ,amoxymed
C1588306    ,amphadase
C0002658    ,amphetamine
C0051750    ,amphetaminil
C0700958    ,amphocil
C0718496    ,amphocin
C0718497    ,amphojel
C0718498    ,amphotec
C0085795    ,amphotericin
C0002680    ,ampicillin
C0595007    ,ampitrin
C0754188    ,amprenavir
C3663373    ,amprid
C0085796    ,amprol
C0002686    ,amprolium
C3651917    ,ampromed-p
C2732151    ,ampyra
C0002697    ,amrinone
C0591084    ,amrit
C1961958    ,amrix
C0002699    ,amsacrine
C0591085    ,amsidine
C1588097    ,am-thav
C2955631    ,amturnide
C0718499    ,amtussin
C0700888    ,amvisc
C0002707    ,amygdalin
C0002712    ,amylases
C0771502    ,amylmetacresol
C0081580    ,amylocaine
C0002728    ,amylopectin
C0591086    ,amytal
C0731311    ,anabact
C1590213    ,anabar
C0718503    ,anacaine
C0718504    ,anacin
C0718508    ,anadrol-50
C0733487    ,anaflex
C0002752    ,anafranil
C0051809    ,anagrelide
C0718500    ,ana-guard
C0245109    ,anakinra
C2938480    ,ana-lex
C0718513    ,anamine
C0718515    ,anaplex
C0699095    ,anaprox
C3195386    ,anascorp
C3153578    ,anased
C2962248    ,anasept
C0002802    ,anaspaz
C0290883    ,anastrozole
C0594245    ,anbesol
C0700926    ,ancef
C0538777    ,ancestim
C0733923    ,ancobon
C0002823    ,ancrod
C0718525    ,andec
C0718526    ,andec-tr
C0939676    ,andehist
C3154852    ,andro-cyp
C0718531    ,androderm
C0875960    ,androgel
C0740105    ,android-10
C0917825    ,android-25
C0718533    ,androlone-d
C0593310    ,andropatch
C0002860    ,androstanedione
C0002860    ,androstenedione
C0002865    ,androsterone
C1876010    ,androxy
C2365389    ,anecream
C0700978    ,anectine
C2962241    ,anefrin
C0718535    ,anemagen
C0699110    ,anergan
C4019894    ,anesgerm
C0718538    ,anestacaine
C0718539    ,anestacon
C2949405    ,anestafoam
C0731314    ,anethaine
C0051839    ,anethole
C0718540    ,anexsia
C1455162    ,angeliq
C0590687    ,angeze
C4033608    ,angidol
C0591093    ,angilol
C1602428    ,angiofluor
C0939677    ,angiomax
C0590662    ,angiopine
C0718541    ,angioscein
C0590674    ,angiozem
C1254059    ,angitate
C3256409    ,anhydroxylitol
C1142738    ,anidulafungin
C0051908    ,anileridine
C0003036    ,aniline
C3709965    ,animalgesics
C0308335    ,animax
C1659055    ,animi-3
C1589341    ,aniodarone
C2724940    ,anipryl
C0051917    ,aniracetam
C2983983    ,anisacril
C3535828    ,anisate
C0051919    ,anisindione
C0301369    ,anisotropine
C0078956    ,anistreplase
C0718543    ,anolor
C0718545    ,anoquan
C1448380    ,anorex
C0718546    ,anorex-sr
C3709480    ,anoro
C0591095    ,anquil
C0700848    ,ansaid
C0591096    ,antabuse
C0876720    ,antagon
C1617247    ,antara
C1590149    ,antatens
C0003143    ,antazoline
C1617066    ,antepar
C0591097    ,antepsin
C4224859    ,anthim
C0594795    ,anthisan
C0718561    ,anthra-derm
C1578194    ,anthraforte
C0003166    ,anthralin
C4059027    ,anthrasil
C1588850    ,antiben
C0718564    ,anti-diarrhea
C0718565    ,anti-diarrheal
C1170057    ,antiflex
C0718566    ,anti-fungal
C0875962    ,anti-gas
C0718567    ,anti-gas-80
C0718576    ,antihist
C0718577    ,antihist-1
C1961851    ,anti-histamine
C0718570    ,anti-itch
C0052062    ,antilirium
C0701073    ,antiminth
C0003380    ,antimony
C2917601    ,antinaus
C0591098    ,antipressan
C0003420    ,antipyrine
C0308340    ,antirobe
C1724744    ,antisedan
C0718585    ,antisept
C0718586    ,antispas
C0718587    ,antituss
C0718573    ,anti-tuss
C0718589    ,antitussin
C0305284    ,antivert
C0604279    ,antizol
C2719339    ,antizol-vet
C0718592    ,antrocol
C0591099    ,anturane
C3249233    ,anturol
C0718593    ,anucort-hc
C0718594    ,anumed
C1816248    ,anu-med
C0718595    ,anumed-hc
C0718597    ,anuprep-hc
C0718598    ,anurx-hc
C0718599    ,anusert
C0483244    ,anusol
C0718604    ,anutone-hc
C1263608    ,anxon
C0718607    ,anzemet
C2946448    ,aogel
C0718608    ,apacet
C0298499    ,apaflurane
C0718609    ,apagesic
C4329353    ,apalutamide
C0718610    ,apapgesic
C0718181    ,apap-pm
C0718611    ,apara
C0003524    ,apazone
C3663612    ,apeaz
C1330063    ,apexicon
C0718614    ,aphedrid
C0718140    ,a-phedrin
C0718615    ,aphrodyne
C1097532    ,aphthasol
C1654827    ,apidra
C0912024    ,apigenin
C0982027    ,apiole
C1831808    ,apixaban
C0718142    ,a.p.l.
C2609728    ,aplenzin
C0733534    ,aplisol
C0052168    ,apocarotenal
C4046852    ,apocreme
C1589388    ,apokyn
C0003596    ,apomorphine
C3700954    ,apoquel
C1948490    ,appearex
C0718616    ,appecon
C0718617    ,apra
C0048038    ,apraclonidine
C1678805    ,apremilast
C1176306    ,aprepitant
C0305291    ,apresazide
C0699178    ,apresoline
C0875963    ,apri
C0003639    ,aprindine
C0591102    ,aprinox
C2586541    ,apriso
C0051241    ,aprobarbital
C0718618    ,aprodine
C3848702    ,aprolium
C0003641    ,aprotinin
C0591103    ,apsifen
C0591105    ,apsolol
C0591106    ,apstil
C4018709    ,aptensio
C3693080    ,aptiom
C1612190    ,aptivus
C0718625    ,aqua-ban
C0308345    ,aquacillin
C1170066    ,aquacot
C1703608    ,aquaflur
C3152377    ,aquafresh
C0718629    ,aqualax
C0740141    ,aquamephyton
C0718631    ,aquamist
C0718635    ,aquaphor
C0700834    ,aquaphyllin
C1702645    ,aquastan
C0718639    ,aquatensen
C0718640    ,aquavite-e
C0718641    ,aquest
C1370081    ,arachidate
C0178485    ,arachidonate
C1587957    ,aralast
C0700987    ,aramine
C1134440    ,aranesp
C0718644    ,arava
C4082272    ,arbekacin
C2980769    ,arbinoxa
C0591107    ,arbralene
C0172021    ,arbutamine
C0003729    ,arbutin
C2343505    ,arcalyst
C3162477    ,arcapta
C0718645    ,arcet
C0305310    ,arco-lase
C0297269    ,ardeparin
C0206048    ,arduan
C0104018    ,aredia
C0591108    ,arelix
C1170070    ,arestin
C0700989    ,arfonad
C0969589    ,arformoterol
C0048470    ,argatroban
C0718646    ,argesic-sa
C2346224    ,arginaid
C0003765    ,arginine
C0003779    ,argipressin
C0003781    ,argon
C0527315    ,aricept
C0718647    ,aricin
C1692751    ,aridex-d
C0591109    ,aridil
C0878174    ,arimidex
C0299792    ,aripiprazole
C2341042    ,arisoprodol
C4056534    ,aristada
C0699563    ,aristocort
C0718653    ,aristopak
C0701378    ,aristospan
C1099665    ,arixtra
C3696384    ,arkaliox
C0718655    ,arlex
C1154213    ,arm-a-med
C1701455    ,armodafinil
C4519824    ,armonair
C3855281    ,arnuity
C0214362    ,aromadendrin
C0876723    ,aromasin
C0591111    ,arpicolin
C0591112    ,arpimycin
C1615581    ,arranon
C0591113    ,arret
C0104238    ,arsenate
C0003818    ,arsenic
C0591114    ,artane
C2916975    ,artec
C0052429    ,artemether
C0052432    ,artesunate
C0718659    ,arthri-cream
C3556181    ,arthritazin
C2948897    ,arthriten
C0718670    ,arthropan
C0210355    ,arthrotec
C0591117    ,arthroxen
C2981029    ,arth-rx
C2719934    ,articadent
C1608295    ,articaine
C2348674    ,artiss
C0591118    ,artracin
C3666205    ,artrosamin
C4306802    ,arymo
C2724188    ,arzerra
C0678172    ,asacol
C1171543    ,ascalix
C0718673    ,ascarel
C2756440    ,asclera
C1878775    ,ascomp
C0178487    ,ascorbate
C0718674    ,ascot
C0052479    ,ascriptin
C2000088    ,asenapine
C0700992    ,asendin
C2946182    ,asepso
C2955415    ,asepxia
C0052506    ,asiaticoside
C0718677    ,asmalix
C1704094    ,asmanex
C0595416    ,asmasal
C0731562    ,asmaven
C0003993    ,asparaginase
C0003995    ,asparagine
C0003999    ,aspartame
C0085845    ,aspartate
C2954400    ,a-spas
C4301811    ,asperagenin
C0718678    ,aspercreme
C3265788    ,asperdrink
C1961925    ,asper-flex
C0699266    ,aspergum
C3883376    ,aspi-cor
C0718681    ,aspidrox
C0718686    ,aspircaf
C0004057    ,aspirin
C0718699    ,aspirin-antacid
C0718691    ,aspirin-free
C0718682    ,aspir-low
C0718683    ,aspir-mox
C0718705    ,aspirtab
C0718685    ,aspir-trin
C3855831    ,aspi-rub
C3651894    ,astagraf
C0052565    ,astaxanthin
C0718706    ,astelin
C0085170    ,astemizole
C2369110    ,astepro
C0718707    ,asthmacon
C0718708    ,asthmahaler
C0718709    ,asthmanefrin
C2726988    ,astramorph
C1589575    ,astringyn
C2916983    ,astri-uc
C3491974    ,asunaprevir
C0718711    ,atacand
C0718712    ,atamet
C1170072    ,atapryl
C0684229    ,atarax
C1145759    ,atazanavir
C1587987    ,atazine
C2962279    ,atelvia
C0591127    ,atenix
C0591128    ,atenixco
C0004147    ,atenolol
C1256457    ,atensine
C4055433    ,atezolizumab
C0004149    ,atgam
C0731349    ,atg-fresenius
C0052593    ,atipamezole
C0699194    ,ativan
C0718713    ,atnativ
C1588909    ,a.t.o.
C0076823    ,atomoxetine
C3486152    ,atopalm
C1589566    ,atoperox
C1601186    ,atopica
C0286651    ,atorvastatin
C0164398    ,atosiban
C0165603    ,atovaquone
C0718714    ,atrac-tain
C0004234    ,atracurium
C1964359    ,atralin
C1602579    ,atreza
C0718715    ,atridine
C1101397    ,atridox
C1724016    ,atripla
C0718716    ,atrofed
C0718717    ,atrogen
C0591129    ,atromid
C1330068    ,atropen
C0004259    ,atropine
C0718723    ,atropine-1
C0718724    ,atropine-care
C0718726    ,atropisol
C0718727    ,atrosept
C1170073    ,atrosulf-1
C0591130    ,atrovent
C2609610    ,atryn
C1587941    ,attane
C0052657    ,attapulgite
C0305354    ,attenuvax
C1601405    ,atuss
C3497721    ,aubagio
C0591132    ,augmentin
C0052662    ,auralgan
C0004320    ,auranofin
C0718735    ,auraphene-b
C0728748    ,aureomycin
C0718738    ,aurodex
C0718737    ,auro-dri
C1613064    ,auroguard
C0718739    ,aurolate
C0018033    ,aurothioglucose
C0085857    ,aurothiomalate
C0718740    ,auroto
C3864953    ,auryxia
C4325360    ,austedo
C2984091    ,auto-injector
C3486187    ,auvi-q
C1170074    ,avagard
C1170075    ,avage
C2710014    ,availnex
C0875966    ,avalide
C2698280    ,avanafil
C1170076    ,avandamet
C1658067    ,avandaryl
C0875967    ,avandia
C2948619    ,avant
C0595301    ,avapro
C1331027    ,avar
C1135130    ,avastin
C3817361    ,aveed
C0875968    ,avelox
C4055417    ,avelumab
C0528314    ,aventyl
C0939260    ,aviane
C3489748    ,avibactam
C2586847    ,avidoxy
C0052709    ,avilamycin
C1962033    ,avima
C1170078    ,avinza
C0718748    ,avita
C2946408    ,avitears
C0097513    ,avobenzone
C1170079    ,avodart
C0594372    ,avonex
C3179443    ,avotermin
C3892974    ,avycaz
C0939679    ,axert
C0678129    ,axid
C2961759    ,axiron
C1700874    ,axitinib
C0718750    ,axocet
C0718751    ,axotal
C0731914    ,axsain
C0718752    ,aygestin
C0004475    ,azacitidine
C0699281    ,azactam
C0591137    ,azamune
C0003524    ,azapropazone
C1330077    ,azasan
C1948900    ,azasite
C0052759    ,azatadine
C0004482    ,azathioprine
C0718754    ,azdone
C0052762    ,azelastine
C1291212    ,azelate
C0718755    ,azelex
C3162437    ,azficel-t
C0052772    ,azidocillin
C1712038    ,azilect
